customer_id,customer_name,monthly_income,loan_amount,collateral_value,duration,interest_rate,existing_debts,credit_score,employment_type,monthly_emi,after_emi,debt_to_income_ratio,loan_to_income_ratio,collateral_to_loan_ratio,approval_probability,risk_score,approved
CUST-03347,Hasitha Dissanayake,105000,1050000,510000,60,15,11000,557,Self-Employed,24979,69021,0.3427,10.0,0.49,67,33,1
CUST-02432,Isuru Herath,51000,1800000,0,60,16,11500,628,Government,43773,-4273,1.0838,35.29,0.0,0,100,0
CUST-00883,Ruwan Samaraweera,33000,350000,0,48,12,9500,691,Government,9217,14283,0.5672,10.61,0.0,35,65,0
CUST-04921,Lakshan Dissanayake,537000,2700000,1920000,48,17,14500,742,Senior Mgmt,77909,444591,0.1721,5.03,0.71,95,5,1
CUST-00433,Gayani Ekanayake,240000,1200000,0,48,12,35000,769,Private Sector,31601,173399,0.2775,5.0,0.0,95,5,1
CUST-03071,Chaminda Raghavan,156000,3100000,4030000,72,14,27000,563,Private Sector,63878,65122,0.5826,19.87,1.3,80,20,1
CUST-01913,Sanduni Rathnayake,154000,1850000,0,60,13,5500,664,Government,42093,106407,0.309,12.01,0.0,95,5,1
CUST-01335,Manjula Hettiarachchi,127000,1900000,0,60,17,29500,583,Private Sector,47220,50280,0.6041,14.96,0.0,64,36,0
CUST-00284,Ayesha Fernando,124000,2750000,0,36,17,55500,455,Private Sector,98045,-29545,1.2383,22.18,0.0,0,100,0
CUST-04038,Tharindu Karunaratne,386000,1950000,2330000,60,13,77500,575,Private Sector,44368,264132,0.3157,5.05,1.19,93,7,1
CUST-01647,Malith Bandara,242000,6050000,6480000,72,14,58000,566,Private Sector,124665,59335,0.7548,25.0,1.07,71,29,1
CUST-01959,Lahiru Dissanayake,99000,2200000,2100000,60,13,20500,578,Private Sector,50057,28443,0.7127,22.22,0.95,45,55,0
CUST-01813,Zainab Gunaratne,134000,2950000,0,48,17,18500,684,Government,85122,30378,0.7733,22.01,0.0,60,40,0
CUST-02180,Priyantha Mendis,203000,5100000,0,72,14,22500,900,Government,105089,75411,0.6285,25.12,0.0,95,5,0
CUST-00500,Ishara Rathnayake,470000,7050000,7890000,60,13,175500,676,Private Sector,160409,134091,0.7147,15.0,1.12,90,10,1
CUST-04709,Nirosha Samaraweera,165000,3650000,0,60,12,15500,657,Government,81192,68308,0.586,22.12,0.0,82,18,1
CUST-03753,Malith Kumar,207000,4550000,2980000,48,13,74000,597,Self-Employed,122065,10935,0.9472,21.98,0.65,5,95,0
CUST-04986,Ishara Kumar,43000,850000,0,48,16,15500,591,Self-Employed,24089,3411,0.9207,19.77,0.0,0,100,0
CUST-00425,Fathima Gunaratne,219000,2200000,1570000,48,18,56500,714,Private Sector,64625,97875,0.5531,10.05,0.71,93,7,1
CUST-01833,Zainab Silva,110000,550000,0,24,18,40500,742,Private Sector,27458,42042,0.6178,5.0,0.0,72,28,1
CUST-03989,Chamara Bandara,683000,15000000,23990000,60,16,74000,785,Self-Employed,364771,244229,0.6424,21.96,1.6,95,5,1
CUST-01053,Sanduni Dissanayake,601000,15000000,21610000,84,16,0,691,Private Sector,297931,303069,0.4957,24.96,1.44,95,5,1
CUST-04736,Gayani Gunasekara,111000,3350000,3690000,48,17,14500,792,Private Sector,96664,-164,1.0015,30.18,1.1,0,100,0
CUST-03161,Fathima Weerasinghe,227000,4100000,3550000,72,18,55500,629,Private Sector,93512,77988,0.6564,18.06,0.87,82,18,1
CUST-01229,Buddhika Raghavan,128000,1550000,1340000,36,18,55000,644,Private Sector,56036,16964,0.8675,12.11,0.86,33,67,0
CUST-04190,Manjula Weerasinghe,92000,3200000,4380000,60,14,32000,539,Private Sector,74458,-14458,1.1572,34.78,1.37,0,100,0
CUST-00607,Dasun Dissanayake,63000,2200000,1560000,60,16,32000,705,Business Owner,53500,-22500,1.3571,34.92,0.71,0,100,0
CUST-04743,Kavindi Weerasinghe,424000,6350000,0,60,14,59000,760,Business Owner,147753,217247,0.4876,14.98,0.0,92,8,1
CUST-01475,Mohamed Abeysekara,239000,8350000,10040000,60,17,123000,675,Self-Employed,207519,-91519,1.3829,34.94,1.2,0,100,0
CUST-01201,Roshan Gunasekara,235000,1200000,0,48,13,60500,839,Government,32193,142307,0.3944,5.11,0.0,95,5,1
CUST-04610,Kavindu Hettiarachchi,527000,15000000,14950000,72,12,154500,614,Government,293253,79247,0.8496,28.46,1.0,81,19,1
CUST-03001,Buddhika Weerasinghe,134000,2950000,2330000,48,18,19500,685,Government,86656,27844,0.7922,22.01,0.79,60,40,1
CUST-00768,Hasitha Gamage,247000,6200000,0,48,17,69000,672,Government,178901,-901,1.0036,25.1,0.0,0,100,0
CUST-03982,Gayani Gunasekara,70000,350000,300000,48,17,18000,727,Private Sector,10099,41901,0.4014,5.0,0.86,85,15,1
CUST-03886,Udaya Perera,123000,3100000,2730000,72,15,28500,611,Business Owner,65550,28950,0.7646,25.2,0.88,46,54,1
CUST-02282,Nirosha Abeysekara,608000,12150000,16550000,60,13,152500,759,Government,276450,179050,0.7055,19.98,1.36,95,5,1
CUST-03704,Malith Gamage,133000,1050000,0,48,14,29500,812,Senior Mgmt,28693,74807,0.4375,7.89,0.0,93,7,1
CUST-01681,Dinesh Rathnayake,449000,9000000,12900000,84,18,153000,676,Private Sector,189161,106839,0.7621,20.04,1.43,92,8,1
CUST-00937,Sunil Liyanage,237000,1900000,910000,36,18,13500,665,Self-Employed,68690,154810,0.3468,8.02,0.48,86,14,1
CUST-00323,Nirosha Karunaratne,69000,1500000,830000,48,17,30000,661,Self-Employed,43283,-4283,1.0621,21.74,0.55,0,100,0
CUST-00800,Ayesha Kumar,61000,2150000,2600000,48,13,7500,717,Self-Employed,57679,-4179,1.0685,35.25,1.21,0,100,0
CUST-04244,Gayani Liyanage,48000,950000,0,48,13,20500,593,Private Sector,25486,2014,0.958,19.79,0.0,0,100,0
CUST-01753,Dilshan Karunaratne,584000,4650000,4030000,60,12,76500,699,Business Owner,103437,404063,0.3081,7.96,0.87,95,5,1
CUST-03666,Fathima Peiris,236000,4700000,3550000,60,18,20000,690,Self-Employed,119349,96651,0.5905,19.92,0.76,79,21,1
CUST-04459,Udaya Samaraweera,237000,7100000,6830000,60,13,70500,483,Self-Employed,161547,4953,0.9791,29.96,0.96,0,100,0
CUST-04006,Ruwan Perera,269000,5900000,0,72,12,46500,661,Private Sector,115346,107154,0.6017,21.93,0.0,83,17,1
CUST-04087,Udaya Jayasinghe,216000,7550000,7160000,72,14,4000,755,Government,155573,56427,0.7388,34.95,0.95,91,9,1
CUST-03920,Malith Mendis,196000,2950000,3550000,48,17,23000,572,Self-Employed,85122,87878,0.5516,15.05,1.2,75,25,1
CUST-01494,Kavindi Mendis,38000,1350000,0,36,13,11500,510,Private Sector,45487,-18987,1.4997,35.53,0.0,0,100,0
CUST-00874,Sunil Kumar,43000,1500000,870000,48,16,6500,607,Government,42510,-6010,1.1398,34.88,0.58,0,100,0
CUST-03596,Chathura Weerasinghe,207000,6200000,6490000,72,13,85000,508,Private Sector,124459,-2459,1.0119,29.95,1.05,0,100,0
CUST-03641,Lakshan Cassim,169000,4200000,3760000,72,15,9000,688,Government,88809,71191,0.5788,24.85,0.9,90,10,1
CUST-02224,Sampath Wickramasinghe,50000,750000,820000,36,12,8500,563,Business Owner,24911,16589,0.6682,15.0,1.09,34,66,1
CUST-00648,Lahiru Hettiarachchi,532000,15000000,0,84,13,158000,587,Private Sector,272879,101121,0.8099,28.2,0.0,67,33,0
CUST-04618,Isuru Seneviratne,223000,1100000,0,36,13,33000,768,Private Sector,37063,152937,0.3142,4.93,0.0,95,5,1
CUST-04750,Sunil Cassim,797000,15000000,20870000,72,16,349000,599,Private Sector,325378,122622,0.8461,18.82,1.39,80,20,1
CUST-03503,Fathima Liyanage,217000,5400000,6380000,72,12,21500,667,Private Sector,105571,89929,0.5856,24.88,1.18,92,8,1
CUST-04243,Thilini Fernando,233000,5800000,7600000,48,14,88500,688,Business Owner,158494,-13994,1.0601,24.89,1.31,0,100,0
CUST-04435,Hasitha Rathnayake,116000,1750000,0,48,16,46000,646,Private Sector,49595,20405,0.8241,15.09,0.0,32,68,0
CUST-02076,Buddhika De Silva,68000,700000,400000,24,15,15500,672,Government,33941,18559,0.7271,10.29,0.57,43,57,1
CUST-00424,Udaya Perera,58000,850000,0,48,16,9000,691,Senior Mgmt,24089,24911,0.5705,14.66,0.0,50,50,0
CUST-01925,Dasun Cassim,75000,600000,0,24,17,10000,685,Government,29665,35335,0.5289,8.0,0.0,67,33,1
CUST-02731,Chaminda Gunaratne,570000,4550000,5530000,48,14,77500,646,Private Sector,124335,368165,0.3541,7.98,1.22,95,5,1
CUST-03848,Udaya Gunasekara,504000,12600000,11990000,72,14,182000,597,Business Owner,259632,62368,0.8763,25.0,0.95,61,39,1
CUST-00545,Nuwan Amarasekara,459000,11500000,11030000,60,17,95000,673,Private Sector,285805,78195,0.8296,25.05,0.96,79,21,1
CUST-01472,Mahesh Gunaratne,234000,1150000,520000,48,18,94000,481,Business Owner,33781,106219,0.5461,4.91,0.45,68,32,1
CUST-00040,Fathima Rajapaksa,243000,1950000,0,36,14,40000,706,Government,66646,136354,0.4389,8.02,0.0,95,5,1
CUST-02498,Ayesha Dissanayake,59000,1750000,0,48,18,10500,650,Self-Employed,51406,-2906,1.0493,29.66,0.0,0,100,0
CUST-00812,Chamara Wickramasinghe,231000,2300000,2340000,60,16,3500,835,Senior Mgmt,55932,171568,0.2573,9.96,1.02,95,5,1
CUST-04761,Kumar Gamage,188000,5650000,5830000,72,17,63000,794,Private Sector,125691,-691,1.0037,30.05,1.03,0,100,0
CUST-04489,Ruwan Liyanage,94000,2800000,2050000,48,14,18000,594,Business Owner,76514,-514,1.0055,29.79,0.73,0,100,0
CUST-02453,Manjula Wickramasinghe,538000,8050000,11880000,72,17,89000,649,Private Sector,179081,269919,0.4983,14.96,1.48,95,5,1
CUST-04365,Mahesh Peiris,72000,1600000,0,60,17,9500,658,Government,39764,22736,0.6842,22.22,0.0,49,51,0
CUST-02816,Dasun Amarasekara,744000,8950000,9640000,60,18,66500,634,Business Owner,227271,450229,0.3949,12.03,1.08,94,6,1
CUST-00058,Manjula Mendis,233000,1850000,0,36,14,13500,735,Self-Employed,63229,156271,0.3293,7.94,0.0,85,15,1
CUST-02596,Mahesh Munasinghe,96000,500000,430000,36,14,8500,642,Business Owner,17089,70411,0.2666,5.21,0.86,81,19,1
CUST-01786,Ayesha Dissanayake,161000,4850000,3720000,48,14,40500,568,Private Sector,132533,-12033,1.0747,30.12,0.77,0,100,0
CUST-02850,Sampath Kumar,380000,3050000,2360000,72,17,72000,777,Private Sector,67851,240149,0.368,8.03,0.77,95,5,1
CUST-04995,Kasun Liyanage,41000,400000,0,24,12,2000,599,Self-Employed,18829,20171,0.508,9.76,0.0,27,73,0
CUST-01483,Mahesh Seneviratne,450000,2250000,0,36,15,71000,679,Business Owner,77997,301003,0.3311,5.0,0.0,87,13,1
CUST-02142,Lakshan Hettiarachchi,141000,4950000,0,60,16,4000,725,Government,120374,16626,0.8821,35.11,0.0,39,61,1
CUST-00913,Kavindu Abeysekara,243000,2450000,1570000,36,17,95000,726,Private Sector,87349,60651,0.7504,10.08,0.64,78,22,1
CUST-03225,Priyantha Ekanayake,42000,400000,340000,24,12,2000,667,Private Sector,18829,21171,0.4959,9.52,0.85,56,44,1
CUST-01080,Zainab Perera,134000,2000000,2000000,60,13,19000,568,Business Owner,45506,69494,0.4814,14.93,1.0,76,24,0
CUST-02167,Shanika Karunaratne,169000,4200000,5800000,72,15,56500,676,Private Sector,88809,23691,0.8598,24.85,1.38,49,51,0
CUST-04758,Tharindu Karunaratne,130000,1050000,1060000,36,15,17000,753,Government,36399,76601,0.4108,8.08,1.01,95,5,1
CUST-04165,Sunil Liyanage,323000,2600000,1760000,36,12,29500,832,Private Sector,86357,207143,0.3587,8.05,0.68,95,5,1
CUST-01488,Tharindu Rajapaksa,213000,4250000,3680000,48,14,19500,815,Government,116138,77362,0.6368,19.95,0.87,95,5,1
CUST-04431,Kasun Dissanayake,70000,850000,0,24,14,38000,556,Self-Employed,40811,-8811,1.1259,12.14,0.0,0,100,0
CUST-04039,Lakshan Peiris,186000,5600000,7490000,72,17,78000,725,Private Sector,124578,-16578,1.0891,30.11,1.34,0,100,0
CUST-02175,Dilshan Munasinghe,751000,15000000,21100000,84,14,50000,857,Business Owner,281100,419900,0.4409,19.97,1.41,95,5,1
CUST-03104,Lakshan Rajapaksa,171000,6000000,6440000,72,17,30500,796,Private Sector,133477,7023,0.9589,35.09,1.07,20,80,0
CUST-00410,Dasun Jayasinghe,46000,1400000,1350000,36,17,6000,736,Government,49914,-9914,1.2155,30.43,0.96,0,100,0
CUST-03012,Chathura Dissanayake,568000,15000000,18440000,60,12,8500,714,Government,333667,225833,0.6024,26.41,1.23,95,5,1
CUST-02169,Kumar Amarasekara,207000,1050000,0,36,16,34000,698,Self-Employed,36915,136085,0.3426,5.07,0.0,81,19,1
CUST-01420,Malith Weerasinghe,605000,7250000,7590000,72,13,80000,777,Private Sector,145537,379463,0.3728,11.98,1.05,95,5,1
CUST-03819,Shanika Liyanage,198000,3950000,2430000,60,13,45500,564,Private Sector,89875,62625,0.6837,19.95,0.62,69,31,0
CUST-04170,Kavindu Amarasekara,113000,2050000,0,36,12,52500,573,Business Owner,68089,-7589,1.0672,18.14,0.0,0,100,0
CUST-03806,Zainab Jayawardena,73000,2550000,3260000,36,12,5500,803,Government,84696,-17196,1.2356,34.93,1.28,0,100,0
CUST-03459,Dinesh Cassim,84000,1500000,0,60,16,9500,539,Self-Employed,36477,38023,0.5473,17.86,0.0,37,63,0
CUST-03294,Zainab Karunaratne,239000,4800000,5730000,72,18,67500,701,Government,109477,62023,0.7405,20.08,1.19,90,10,1
CUST-02068,Roshan De Silva,74000,600000,300000,24,16,2500,723,Government,29378,42122,0.4308,8.11,0.5,88,12,1
CUST-04575,Lahiru Kumar,167000,3000000,2270000,72,15,61500,755,Private Sector,63435,42065,0.7481,17.96,0.76,80,20,0
CUST-03417,Sunil Peiris,149000,4450000,3350000,72,16,17500,587,Self-Employed,96529,34971,0.7653,29.87,0.75,43,57,1
CUST-04991,Isuru Dissanayake,92000,3200000,4350000,60,14,39500,493,Private Sector,74458,-21958,1.2387,34.78,1.36,0,100,0
CUST-04102,Dasun Karunaratne,480000,10550000,11160000,72,14,168500,616,Private Sector,217391,94109,0.8039,21.98,1.06,78,22,1
CUST-04325,Chamara Gamage,182000,5450000,0,60,17,26000,746,Government,135447,20553,0.8871,29.95,0.0,46,54,1
CUST-00900,Malith Seneviratne,31000,250000,0,18,16,4500,846,Government,15714,10786,0.6521,8.06,0.0,43,57,0
CUST-02449,Buddhika Dissanayake,63000,500000,0,24,13,2000,707,Government,23771,37229,0.4091,7.94,0.0,73,27,1
CUST-02303,Isuru Liyanage,359000,3600000,0,60,17,35500,777,Senior Mgmt,89469,234031,0.3481,10.03,0.0,95,5,1
CUST-00947,Ravi Ekanayake,790000,7900000,8320000,84,14,52000,702,Private Sector,148046,589954,0.2532,10.0,1.05,95,5,1
CUST-02443,Nuwan Gunaratne,43000,950000,500000,24,16,9500,544,Self-Employed,46515,-13015,1.3027,22.09,0.53,0,100,0
CUST-03062,Sunil Abeysekara,31000,250000,0,18,13,7000,707,Senior Mgmt,15362,8638,0.7214,8.06,0.0,20,80,0
CUST-03764,Kasun Weerasinghe,156000,3100000,2900000,72,16,37500,649,Private Sector,67245,51255,0.6714,19.87,0.94,77,23,1
CUST-00081,Priyantha Weerasinghe,125000,3100000,3920000,48,12,52000,659,Private Sector,81635,-8635,1.0691,24.8,1.26,0,100,0
CUST-01564,Priyantha Samaraweera,111000,900000,380000,36,15,17500,789,Government,31199,62301,0.4387,8.11,0.42,95,5,1
CUST-04125,Ravi Samaraweera,264000,3150000,3180000,48,15,139000,636,Self-Employed,87667,37333,0.8586,11.93,1.01,48,52,0
CUST-04430,Isuru Riaz,208000,2100000,2370000,60,15,20500,636,Private Sector,49959,137541,0.3387,10.1,1.13,95,5,1
CUST-02627,Ravi Gunasekara,71000,1050000,1160000,48,14,19000,728,Government,28693,23307,0.6717,14.79,1.1,64,36,1
CUST-04418,Nimal Liyanage,544000,2700000,0,36,15,34000,645,Government,93596,416404,0.2346,4.96,0.0,93,7,0
CUST-04878,Nirosha Gamage,95000,2100000,2460000,60,17,17500,841,Government,52190,25310,0.7336,22.11,1.17,74,26,1
CUST-00513,Kasun Abeysekara,459000,4600000,0,60,13,175000,583,Private Sector,104664,179336,0.6093,10.02,0.0,74,26,0
CUST-00025,Mahesh Rajapaksa,81000,2000000,1200000,36,15,11500,842,Government,69331,169,0.9979,24.69,0.6,0,100,0
CUST-01570,Lakshan Weerasinghe,122000,4250000,4340000,60,16,19000,740,Government,103352,-352,1.0029,34.84,1.02,0,100,0
CUST-03216,Dinesh Liyanage,70000,350000,0,36,17,22500,615,Self-Employed,12478,35022,0.4997,5.0,0.0,49,51,0
CUST-04796,Lahiru Cassim,173000,6050000,8600000,72,13,50500,620,Government,121448,1052,0.9939,34.97,1.42,0,100,0
CUST-04217,Zainab Seneviratne,38000,450000,190000,24,15,17500,498,Self-Employed,21819,-1319,1.0347,11.84,0.42,0,100,0
CUST-03542,Zainab Samaraweera,171000,2050000,1770000,60,17,18500,830,Private Sector,50948,101552,0.4061,11.99,0.86,95,5,1
CUST-02475,Thisara Mendis,716000,5750000,8370000,48,12,227000,531,Self-Employed,151420,337580,0.5285,8.03,1.46,75,25,1
CUST-04599,Kumar Perera,199000,4000000,0,48,14,50000,739,Senior Mgmt,109306,39694,0.8005,20.1,0.0,59,41,0
CUST-04517,Kavindu Bandara,186000,3350000,4390000,60,12,91500,584,Self-Employed,74519,19981,0.8926,18.01,1.31,23,77,0
CUST-02185,Ravi Wickramasinghe,44000,1100000,0,36,14,7000,693,Government,37595,-595,1.0135,25.0,0.0,0,100,0
CUST-03701,Amal Liyanage,43000,1100000,0,60,14,500,650,Private Sector,25595,16905,0.6069,25.58,0.0,36,64,0
CUST-04428,Amal Perera,132000,3300000,3320000,60,12,38500,792,Government,73407,20093,0.8478,25.0,1.01,61,39,1
CUST-00263,Lakshan Wickramasinghe,384000,5750000,7340000,60,14,153000,620,Private Sector,133792,97208,0.7469,14.97,1.28,83,17,1
CUST-01537,Nipuni Gamage,92000,2000000,0,60,17,27000,729,Government,49705,15295,0.8337,21.74,0.0,39,61,1
CUST-01975,Suresh Gunaratne,65000,1600000,0,48,12,6000,636,Government,42134,16866,0.7405,24.62,0.0,34,66,1
CUST-02569,Kumar Ekanayake,129000,3200000,4470000,60,16,38500,699,Government,77818,12682,0.9017,24.81,1.4,38,62,1
CUST-00080,Malith Ekanayake,153000,1200000,0,48,18,44000,572,Business Owner,35250,73750,0.518,7.84,0.0,63,37,1
